source	parcel_id	name	signal	mean	sem	t	p	dz	frac_sig_pos	frac_sig_neg	p_holm
model7	22	Middle Temporal Gyrus, anterior division R	urpe	-0.0629999572883659	0.017579892103086237	-3.583637312387483	0.0007025647045931303	-0.4705546321526036	0.0	0.25	0.10046675275681763
model7	22	Middle Temporal Gyrus, anterior division R	surprise	0.009380869924370299	0.00925768855703202	1.0133058448207044	0.3151962183694224	0.13305357587931427			1.0
model7	23	Middle Temporal Gyrus, posterior division L	rpe	0.13093699404158474	0.020482610396349157	6.392593107415794	3.24725976407316e-08	0.8393885976584173			6.6244099187092455e-06
model7	23	Middle Temporal Gyrus, posterior division L	urpe	-0.041988147156781466	0.019277522051530112	-2.17808839977173	0.03355121120465036	-0.2859970182271673	0.0	0.10122699386503067	1.0
model7	23	Middle Temporal Gyrus, posterior division L	surprise	0.018676970298925833	0.012746517671389498	1.4652606131671297	0.14834441665119077	0.19239814432482563			1.0
model7	25	Middle Temporal Gyrus, temporooccipital part L	rpe	0.19714531845926925	0.029590538853844776	6.6624443519944085	1.1594518196234542e-08	0.8748218019867916			2.411659784816785e-06
model7	25	Middle Temporal Gyrus, temporooccipital part L	urpe	-0.07846684474869599	0.016841251014865846	-4.659205226466428	1.9501473279705355e-05	-0.6117836182486824	0.0	0.5	0.003256746037710794
model7	25	Middle Temporal Gyrus, temporooccipital part L	surprise	0.008143586784769149	0.010335121795951908	0.7879526671818085	0.4339890380524549	0.10346325398994745			1.0
model7	26	Middle Temporal Gyrus, temporooccipital part R	rpe	0.1097278454164062	0.029781006905084034	3.6844907818638637	0.0005116975176362789	0.4837973414710741			0.07368444253962415
model7	26	Middle Temporal Gyrus, temporooccipital part R	urpe	-0.0976194153664229	0.023731299401555005	-4.1135301407063425	0.0001266887288816198	-0.5401329692371024	0.0	0.4432234432234432	0.01989013043441431
model7	26	Middle Temporal Gyrus, temporooccipital part R	surprise	0.020080137493317655	0.011583692930149082	1.7334832349582336	0.08841655763280377	0.22761750000449799			1.0
model7	29	Inferior Temporal Gyrus, posterior division L	rpe	0.13715175372900443	0.018693625785720445	7.336819261342598	8.734812086061648e-10	0.9633715657434011			1.860514974331131e-07
model7	29	Inferior Temporal Gyrus, posterior division L	urpe	-0.04681396786696624	0.014158855010272082	-3.306338530411057	0.001639526294413741	-0.4341435182549333	0.0	0.18143459915611815	0.2196965234514413
model7	29	Inferior Temporal Gyrus, posterior division L	surprise	0.014390505291122603	0.0140241448225379	1.0261235514336624	0.3091683814684849	0.13473662321210428			1.0
model7	31	Inferior Temporal Gyrus, temporooccipital part L	rpe	0.2628643887008069	0.032408622443274214	8.110939894495866	4.4977192805425844e-11	1.0650185846858666			1.007489118841539e-08
model7	31	Inferior Temporal Gyrus, temporooccipital part L	urpe	-0.09468536185668451	0.01936025502066241	-4.890708400051067	8.583186732563234e-06	-0.6421814741677867	0.0	0.6033519553072626	0.0014934744914660027
model7	31	Inferior Temporal Gyrus, temporooccipital part L	surprise	0.007538744587812479	0.014453628160136024	0.5215814675933611	0.603982626921512	0.06848700195542322			1.0
model7	32	Inferior Temporal Gyrus, temporooccipital part R	rpe	0.2653839197818324	0.03234784200331822	8.204068752240394	3.1522369025095945e-11	1.0772470027926013			7.092533030646588e-09
model7	32	Inferior Temporal Gyrus, temporooccipital part R	urpe	-0.07553797807054038	0.025603449324505357	-2.950304746565616	0.0045995016852585615	-0.38739399212063885	0.0	0.15306122448979592	0.5473407005457688
model7	32	Inferior Temporal Gyrus, temporooccipital part R	surprise	0.019903559342218345	0.01737636083047161	1.1454388831126814	0.25681393962401083	0.1504034938003509			1.0
model7	33	Postcentral Gyrus L	rpe	0.10897482295833424	0.02903757321530198	3.752890165797587	0.00041166544517896007	0.492778620585214			0.06010315499612817
model7	33	Postcentral Gyrus L	urpe	-0.07153650277160509	0.023832998447464875	-3.001573760401702	0.003981127924519257	-0.3941259434436911	0.0	0.12854030501089325	0.4777353509423109
model7	33	Postcentral Gyrus L	surprise	0.006882883178385425	0.008713326251638473	0.789926025906714	0.43284495456750727	0.10372236868486741			1.0
model7	34	Postcentral Gyrus R	rpe	0.16830419313463324	0.03037202565513596	5.541421406845569	8.001038770216809e-07	0.7276242779053971			0.00015281984051114105
model7	34	Postcentral Gyrus R	urpe	-0.09683403614707833	0.026049868466768086	-3.7172562414512713	0.00046117807680644453	-0.48809965709050596	0.0	0.3132678132678133	0.06687082113693446
model7	34	Postcentral Gyrus R	surprise	-0.0002162101328325306	0.009634753031880147	-0.022440651267045385	0.9821748280933229	-0.002946601868924743			1.0
model7	35	Superior Parietal Lobule L	rpe	0.1899548054013995	0.03108101481154079	6.111602422031174	9.435811938753617e-08	0.8024927130937541			1.9060340116282306e-05
model7	35	Superior Parietal Lobule L	urpe	-0.06153161277166006	0.023315013454195843	-2.6391412079835894	0.010700093712785104	-0.34653621783342425	0.0	0.3224932249322493	1.0
model7	35	Superior Parietal Lobule L	surprise	0.006128819003254295	0.011642456228121342	0.5264197591270016	0.6006391128288349	0.06912230075784094			1.0
model7	36	Superior Parietal Lobule R	rpe	0.2520284968309851	0.03476303346927021	7.249899438545055	1.2194674166773489e-09	0.9519584338670567			2.5608815750224326e-07
model7	36	Superior Parietal Lobule R	urpe	-0.07364447155024646	0.028574977477574467	-2.5772363813074692	0.012571414543571007	-0.33840771586578355	0.047619047619047616	0.38095238095238093	1.0
model7	36	Superior Parietal Lobule R	surprise	0.006554356882878736	0.015714482281941614	0.41709022068202084	0.6781791516855362	0.054766629058430646			1.0
model7	37	Supramarginal Gyrus, anterior division L	rpe	0.13426533476782018	0.026766537041169502	5.016163822810071	5.470537476781162e-06	0.6586545782131799			0.0009737556708670469
model7	37	Supramarginal Gyrus, anterior division L	urpe	-0.06722507634380355	0.019118548842254578	-3.5162227477865393	0.000866172923949124	-0.46170266615206235	0.0	0.3524590163934426	0.12039803642892824
model7	37	Supramarginal Gyrus, anterior division L	surprise	-0.002083859195350043	0.00971711741108583	-0.2144524046784348	0.8309596485054075	-0.02815898027651495			1.0
model7	38	Supramarginal Gyrus, anterior division R	rpe	0.07378025896130207	0.026857148414795334	2.7471367332749765	0.008033221261365181	0.36071672502424823			0.9238204450569959
model7	38	Supramarginal Gyrus, anterior division R	urpe	-0.0872118134179437	0.021146796215068295	-4.124114713688891	0.00012228936780065317	-0.5415227917587843	0.0	0.39473684210526316	0.019321720112503202
