roi_set	roi	test	kind	t	p	dz	n	p_holm
rpe	Cerebellum R	urpe vs surprise	paired	-1.7057392218403338	0.09350086416170235	-0.2239745326087732	58	0.8415077774553211
rpe	Cerebellum R	rpe vs surprise	paired	9.567555392402081	1.8526617213034982e-13	1.2562815697641203	58	1.815608486877428e-11
rpe	Cerebellum R	rpe vs neg_urpe	paired	9.046841743262958	1.294698979405557e-12	1.187908517954293	58	1.229964030435279e-10
rpe	Cerebellum R	surprise vs neg_urpe	paired	-2.1654742939386717	0.03455030802967205	-0.2843407049865133	58	0.4153589584831747
rpe	Cerebellum R	urpe vs neg_urpe	paired	-2.2033126867622834	0.03162914555477762	-0.2893091293733267	58	0.4153589584831747
rpe	Visual cortex L (lingual)	rpe vs 0	onesample	10.476083819947773	6.650665042027155e-15	1.375577196736798	58	3.325332521013578e-13
rpe	Visual cortex L (lingual)	urpe vs 0	onesample	-4.676877562446682	1.832656082194692e-05	-0.6141041096465482	58	0.0004764905813706199
rpe	Visual cortex L (lingual)	surprise vs 0	onesample	-1.6853962933879107	0.09737989771211082	-0.22130337523976495	58	1.0
rpe	Visual cortex L (lingual)	urpe vs rpe	paired	-10.705964742231115	2.90789982794496e-15	-1.405762040624327	58	2.9369788262244096e-13
rpe	Visual cortex L (lingual)	urpe vs surprise	paired	-3.4266407395114475	0.0011402556142602349	-0.4499399721970499	58	0.03192715719928658
rpe	Visual cortex L (lingual)	rpe vs surprise	paired	9.786929875811614	8.230489979345583e-14	1.2850868506410706	58	8.148185079552127e-12
rpe	Visual cortex L (lingual)	rpe vs neg_urpe	paired	6.365957933992071	3.593778432330081e-08	0.8358912280475481	58	2.8390849615407637e-06
rpe	Visual cortex L (lingual)	surprise vs neg_urpe	paired	-5.293752688846253	1.9940534671114377e-06	-0.6951037820139664	58	0.00011434848534624694
rpe	Visual cortex L (lingual)	urpe vs neg_urpe	paired	-4.676877562446682	1.832656082194692e-05	-0.6141041096465482	58	0.0008796749194534522
rpe	Visual cortex L (mid. occ.)	rpe vs 0	onesample	10.765154321017324	2.3523725641617315e-15	1.4135340130772134	58	1.2232337333641004e-13
rpe	Visual cortex L (mid. occ.)	urpe vs 0	onesample	-5.978137452976728	1.5619728987310755e-07	-0.7849679040954816	58	6.247891594924302e-06
rpe	Visual cortex L (mid. occ.)	surprise vs 0	onesample	0.12236701598956497	0.903038776150731	0.01606757636927841	58	1.0
rpe	Visual cortex L (mid. occ.)	urpe vs rpe	paired	-11.07277959626562	7.868667805797511e-16	-1.4539271906275575	58	8.026041161913462e-14
rpe	Visual cortex L (mid. occ.)	urpe vs surprise	paired	-5.442731502981704	1.152779069548893e-06	-0.7146656586697638	58	7.262508138158026e-05
rpe	Visual cortex L (mid. occ.)	rpe vs surprise	paired	9.079901140820883	1.1435339731961327e-12	1.1922494295201156	58	1.0977926142682874e-10
rpe	Visual cortex L (mid. occ.)	rpe vs neg_urpe	paired	5.737271490067863	3.85834966415823e-07	0.7533406537085964	58	2.662261268269179e-05
rpe	Visual cortex L (mid. occ.)	surprise vs neg_urpe	paired	-5.296853106929984	1.9715256094180507e-06	-0.6955108868529147	58	0.00011434848534624694
rpe	Visual cortex L (mid. occ.)	urpe vs neg_urpe	paired	-5.978137452976728	1.5619728987310755e-07	-0.7849679040954816	58	1.155859945060996e-05
rpe	vmPFC	rpe vs 0	onesample	10.53264418762984	5.4227352989398336e-15	1.3830039368583644	58	2.765595002459315e-13
rpe	vmPFC	urpe vs 0	onesample	-6.76447857936017	7.846837172598266e-09	-0.8882195524117877	58	3.374139984217254e-07
rpe	vmPFC	surprise vs 0	onesample	0.9240118489703588	0.3593753955962733	0.12132869980841451	58	1.0
rpe	vmPFC	urpe vs rpe	paired	-11.592762204340655	1.2688202944190485e-16	-1.5222042520429857	58	1.3195731061958104e-14
rpe	vmPFC	urpe vs surprise	paired	-6.617943958109905	1.3744715289491797e-08	-0.8689786140049649	58	1.140811369027819e-06
rpe	vmPFC	rpe vs surprise	paired	9.223801444984677	6.668412240830711e-13	1.2111444651472922	58	6.46835987360579e-11
rpe	vmPFC	rpe vs neg_urpe	paired	4.160648372853256	0.00010821154759915817	0.54631989622297	58	0.004003827261168852
rpe	vmPFC	surprise vs neg_urpe	paired	-5.325197814486337	1.776862749702086e-06	-0.6992327292925915	58	0.00010661176498212517
rpe	vmPFC	urpe vs neg_urpe	paired	-6.76447857936017	7.846837172598266e-09	-0.8882195524117877	58	6.826748340160492e-07
surprise	Angular gyrus L	rpe vs 0	onesample	6.839313811047461	5.891388177269582e-09	0.8980458997368767	58	2.651124679771312e-07
surprise	Angular gyrus L	urpe vs 0	onesample	-5.125882780441699	3.6783049358980906e-06	-0.6730613831568759	58	0.0001140274530128408
surprise	Angular gyrus L	surprise vs 0	onesample	5.4169161773948264	1.267978774781215e-06	0.7112759403538387	58	4.437925711734252e-05
surprise	Angular gyrus L	urpe vs rpe	paired	-8.09734536255127	4.737423269719509e-11	-1.063233535189824	58	4.358429408141948e-09
surprise	Angular gyrus L	urpe vs surprise	paired	-6.327631266684082	4.1578945263966486e-08	-0.8308586900799347	58	3.2431577305893858e-06
surprise	Angular gyrus L	rpe vs surprise	paired	4.850887064895195	9.894428302923115e-06	0.6369526766967575	58	0.000514510271752002
surprise	Angular gyrus L	rpe vs neg_urpe	paired	2.230473878042502	0.02966849703451248	0.29287556851255286	58	0.4153589584831747
surprise	Angular gyrus L	surprise vs neg_urpe	paired	-2.8773947215301914	0.005633681031585381	-0.3778204368135241	58	0.10703993960012223
surprise	Angular gyrus L	urpe vs neg_urpe	paired	-5.125882780441699	3.6783049358980906e-06	-0.6730613831568759	58	0.00020230677147439497
surprise	Angular gyrus R	rpe vs 0	onesample	6.287493604520587	4.843214281769257e-08	0.8255883568379173	58	1.9857178555253954e-06
surprise	Angular gyrus R	urpe vs 0	onesample	-3.1187758473313987	0.002846665019165427	-0.4095153314021447	58	0.06547329544080482
surprise	Angular gyrus R	surprise vs 0	onesample	5.034307339654075	5.1239592423838505e-06	0.6610369386894964	58	0.00015371877727151552
surprise	Angular gyrus R	urpe vs rpe	paired	-6.669068864271204	1.1304477959371803e-08	-0.875691643063293	58	9.608806265466033e-07
surprise	Angular gyrus R	urpe vs surprise	paired	-4.342028976954102	5.8554435661506764e-05	-0.5701363363373936	58	0.0023934099928719513
surprise	Angular gyrus R	rpe vs surprise	paired	4.349972916879768	5.698595221123694e-05	0.5711794267518847	58	0.0023934099928719513
surprise	Angular gyrus R	rpe vs neg_urpe	paired	3.348810806600826	0.0014434030199711957	0.4397204013368447	58	0.038971881539222285
surprise	Angular gyrus R	surprise vs neg_urpe	paired	-0.6997795110115949	0.48691123178689977	-0.09188555137925346	58	1.0
surprise	Angular gyrus R	urpe vs neg_urpe	paired	-3.1187758473313987	0.002846665019165427	-0.4095153314021447	58	0.06831996045997024
surprise	Precuneus L	rpe vs 0	onesample	4.771013991615618	1.314316552932999e-05	0.6264648283628731	58	0.00035486546929190975
surprise	Precuneus L	urpe vs 0	onesample	-2.63276402832037	0.01088039880709126	-0.34569885312014137	58	0.22848837494891644
surprise	Precuneus L	surprise vs 0	onesample	5.741396940622963	3.79929501414629e-07	0.7538823519049255	58	1.4817250555170531e-05
surprise	Precuneus L	urpe vs rpe	paired	-5.15271400360366	3.3367004298952477e-06	-0.6765844953595362	58	0.00018685522407413388
surprise	Precuneus L	urpe vs surprise	paired	-4.455290720611646	3.9682162215583824e-05	-0.585008331876538	58	0.0017856972997012722
surprise	Precuneus L	rpe vs surprise	paired	3.035559713887256	0.0036148937259498533	0.3985885177632156	58	0.08280716080031658
surprise	Precuneus L	rpe vs neg_urpe	paired	2.6248955814942185	0.011106684980870894	0.344665675435253	58	0.19584717852764266
surprise	Precuneus L	surprise vs neg_urpe	paired	0.13354880227976207	0.8942297676798713	0.017535816840043947	58	1.0
surprise	Precuneus L	urpe vs neg_urpe	paired	-2.63276402832037	0.01088039880709126	-0.34569885312014137	58	0.19584717852764266
surprise	dlPFC L	rpe vs 0	onesample	7.257629637798517	1.1838106606699893e-09	0.9529734587563234	58	5.56391010514895e-08
surprise	dlPFC L	urpe vs 0	onesample	-5.016906902013878	5.4559013433505345e-06	-0.658752149292764	58	0.0001582211389571655
surprise	dlPFC L	surprise vs 0	onesample	5.405689937426677	1.3215528855194813e-06	0.7098018628291938	58	4.4932798107662366e-05
surprise	dlPFC L	urpe vs rpe	paired	-7.698768748470494	2.1781403354005378e-10	-1.0108978617735713	58	1.9821077052144894e-08
surprise	dlPFC L	urpe vs surprise	paired	-6.712642656653644	9.568843332972558e-09	-0.8814131623072013	58	8.2292052663564e-07
surprise	dlPFC L	rpe vs surprise	paired	4.763886740940208	1.347931439991701e-05	0.625528974500588	58	0.0006604864055959335
surprise	dlPFC L	rpe vs neg_urpe	paired	3.487173171746724	0.0009473313189130641	0.4578882699461869	58	0.027472608248478858
surprise	dlPFC L	surprise vs neg_urpe	paired	-2.1513553045472618	0.03569945109419674	-0.282486790853943	58	0.4153589584831747
surprise	dlPFC L	urpe vs neg_urpe	paired	-5.016906902013878	5.4559013433505345e-06	-0.658752149292764	58	0.00029461867254092884
urpe	Anterior insula R	rpe vs 0	onesample	-2.6068861500719676	0.011640846388680588	-0.3423009212373655	58	0.23281692777361174
urpe	Anterior insula R	urpe vs 0	onesample	6.64154289606667	1.2559153176991691e-08	0.8720773063673455	58	5.27484433433651e-07
urpe	Anterior insula R	surprise vs 0	onesample	-0.44403908244576307	0.6586955505369178	-0.058305187966257395	58	1.0
urpe	Anterior insula R	urpe vs rpe	paired	5.455528504840195	1.0995665705867923e-06	0.7163459873351016	58	7.037226051755471e-05
urpe	Anterior insula R	urpe vs surprise	paired	6.078928511502397	1.0676850391261889e-07	0.7982024184546428	58	8.114406297359035e-06
urpe	Anterior insula R	rpe vs surprise	paired	-2.467240575827739	0.016643463518704885	-0.32396455901870824	58	0.26629541629927816
urpe	Anterior insula R	rpe vs neg_urpe	paired	2.896193900697917	0.0053481683982240505	0.380288889970729	58	0.10696336796448101
urpe	Anterior insula R	surprise vs neg_urpe	paired	6.447848466872533	2.6308503079322446e-08	0.8466439818050634	58	2.1046802463457958e-06
urpe	Anterior insula R	urpe vs neg_urpe	paired	6.64154289606667	1.2559153176991691e-08	0.8720773063673455	58	1.054968866867302e-06
urpe	Inferior parietal lobule R	rpe vs 0	onesample	3.9451972426039137	0.0002210037716685881	0.5180297768543334	58	0.005525094291714702
urpe	Inferior parietal lobule R	urpe vs 0	onesample	4.850167730052039	9.91983434164755e-06	0.636858223404471	58	0.0002777553615661314
urpe	Inferior parietal lobule R	surprise vs 0	onesample	-0.8231212937126713	0.41386955720613827	-0.10808112088829083	58	1.0
urpe	Inferior parietal lobule R	urpe vs rpe	paired	-0.22713189470113346	0.8211338584796701	-0.029823878881875952	58	1.0
