Unnamed: 0,trialNumber,runNumber,visualSet,audioSet,visual,audio,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,startTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,feedbackOnsetTime,feedbackOffsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,participantID,stimulusPair
64,5,2,1,0,1,2,0.5,1,1,1,1,21.7814929000001,22.5055875,24.1120430000001,24.1119665000001,1.60637900000006,26.2453370000001,27.2814121000001,3.5,0.8,0.2,4,2,0,"(1, 2)"
65,6,2,1,0,1,2,0.5,1,0,0,0,27.2958638,28.0252193000001,29.6089526000001,28.9507876,0.925568299999895,31.7214835,32.7399196000001,3.5,0.666666666666667,0.333333333333333,5,2,0,"(1, 2)"
66,7,2,1,0,0,0,0.5,1,1,1,0,32.7471574000001,33.4806716000001,34.9672978000001,34.9672206,1.48654899999997,37.1005903,38.1279859000001,3.5,0.714285714285714,0.285714285714286,5,3,0,"(0, 0)"
67,8,2,1,0,2,1,0.5,1,1,1,1,38.1344718,38.8361832000001,40.5153993000001,40.5153237,1.6791404999999,42.6320782,43.6682982,3.5,0.75,0.25,6,3,0,"(2, 1)"
68,9,2,1,0,2,0,0.35,0,0,1,0,43.6747409,44.3982506,46.6208026000002,46.6207145000001,2.22246390000009,48.7376149000002,49.7520346000001,3.5,0.777777777777778,0.222222222222222,7,3,0,"(2, 0)"
69,10,2,1,0,0,2,0.35,0,1,0,0,49.7583389000001,50.4753558,52.1454727,52.1453967,1.6700409,54.2622514,55.2983719000001,3.5,0.7,0.3,8,3,0,"(0, 2)"
70,11,2,1,0,1,1,0.35,0,0,1,1,55.3048815,56.0034230000001,58.2278405,58.2277644000001,2.22434139999996,60.3446240000001,61.3589428,3.5,0.727272727272727,0.272727272727273,8,4,0,"(1, 1)"
71,12,2,1,0,0,0,0.5,1,1,1,1,61.3646444000001,62.095634,63.9844088,63.9843332,1.88869920000002,66.1009835,67.1154063000001,3.5,0.75,0.25,9,4,0,"(0, 0)"
72,13,2,1,0,1,2,0.5,1,1,1,0,67.1298598000001,67.8356635,69.8228054000001,69.8227272000001,1.98706370000014,71.9395103000002,72.9537831,3.5,0.769230769230769,0.230769230769231,10,4,0,"(1, 2)"
73,14,2,1,0,2,1,0.5,1,1,1,1,72.9602150000001,73.6905791000001,75.4964909,75.4964148000001,1.80583569999999,77.6130721,78.6274773,3.5,0.785714285714286,0.214285714285714,11,4,0,"(2, 1)"
74,15,2,1,0,0,1,0.15,0,0,1,0,78.6340317000002,79.3625049,81.5345175,81.5344419,2.17193700000007,83.6514435000001,84.6656144000001,3.5,0.8,0.2,12,4,0,"(0, 1)"
75,16,2,1,0,0,0,0.5,1,0,0,1,84.6728971,85.4015284,87.8576482000001,87.8575705000001,2.4560421000001,89.9743547,90.9887359000002,3.5,0.75,0.25,13,4,0,"(0, 0)"
76,17,2,1,0,2,1,0.5,1,1,1,0,90.9960342000002,91.741933,93.4494200000001,93.4493408000001,1.70740780000006,95.5638591000002,96.5781502,3.5,0.764705882352941,0.235294117647059,13,5,0,"(2, 1)"
77,18,2,1,0,2,1,0.5,1,0,0,0,96.5838761,97.3101433000002,100.249828,100.2497512,2.93960789999983,102.366539,103.3808039,3.5,0.722222222222222,0.277777777777778,14,5,0,"(2, 1)"
78,19,2,1,0,0,2,0.35,0,0,1,1,103.3952108,104.1247868,106.2970994,106.2970218,2.172235,108.4138459,109.4280717,3.5,0.736842105263158,0.263157894736842,14,6,0,"(0, 2)"
79,20,2,1,0,2,0,0.35,0,0,1,0,109.4353256,110.1630087,112.1358912,112.1358149,1.97280619999992,114.252695,115.266973,3.5,0.75,0.25,15,6,0,"(2, 0)"
80,21,2,1,0,0,0,0.5,1,0,0,0,115.2726864,115.9821061,117.8791158,117.8790405,1.89693439999996,119.9958933,121.0105818,3.5,0.714285714285714,0.285714285714286,16,6,0,"(0, 0)"
