subject	name	signal	value
38	Caudate / Putamen R (2)	rpe	-0.14466025088061532
39	Caudate / Putamen R (2)	rpe	0.11751424403140061
40	Caudate / Putamen R (2)	rpe	0.015929553770821073
41	Caudate / Putamen R (2)	rpe	0.5730193322071674
42	Caudate / Putamen R (2)	rpe	0.20828876150923828
43	Caudate / Putamen R (2)	rpe	0.2448583011615487
45	Caudate / Putamen R (2)	rpe	0.3976641971514028
46	Caudate / Putamen R (2)	rpe	0.0678620470132625
47	Caudate / Putamen R (2)	rpe	0.48850082608142076
48	Caudate / Putamen R (2)	rpe	0.2593867445732672
49	Caudate / Putamen R (2)	rpe	0.2942208873284651
50	Caudate / Putamen R (2)	rpe	0.05104069322133868
51	Caudate / Putamen R (2)	rpe	0.4500051134265012
52	Caudate / Putamen R (2)	rpe	0.27843854928103173
53	Caudate / Putamen R (2)	rpe	0.0971105374813529
54	Caudate / Putamen R (2)	rpe	0.1851980912239306
55	Caudate / Putamen R (2)	rpe	0.3077568472863094
56	Caudate / Putamen R (2)	rpe	0.3169884828732047
57	Caudate / Putamen R (2)	rpe	-0.0348479657777244
58	Caudate / Putamen R (2)	rpe	0.479860740456721
59	Caudate / Putamen R (2)	rpe	0.034586131401666075
60	Caudate / Putamen R (2)	rpe	0.06440598794773095
61	Caudate / Putamen R (2)	rpe	0.26094639496826705
62	Caudate / Putamen R (2)	rpe	-0.020681895680401803
63	Caudate / Putamen R (2)	rpe	-0.22787305315658546
64	Caudate / Putamen R (2)	rpe	0.335463859080093
01	Caudate / Putamen R (2)	urpe	-0.06122932571916344
02	Caudate / Putamen R (2)	urpe	-0.3510685809555249
03	Caudate / Putamen R (2)	urpe	-0.15612103935182012
04	Caudate / Putamen R (2)	urpe	-0.4376794725529093
05	Caudate / Putamen R (2)	urpe	-0.21956090509183893
06	Caudate / Putamen R (2)	urpe	-0.1095963521006154
07	Caudate / Putamen R (2)	urpe	-0.040076828185361346
09	Caudate / Putamen R (2)	urpe	-0.3367698125436383
10	Caudate / Putamen R (2)	urpe	-0.2760880344725977
11	Caudate / Putamen R (2)	urpe	-0.08507689053269611
12	Caudate / Putamen R (2)	urpe	-0.03687739663078811
14	Caudate / Putamen R (2)	urpe	-0.2891480042198104
15	Caudate / Putamen R (2)	urpe	0.02899808898844007
17	Caudate / Putamen R (2)	urpe	-0.2125954219130777
18	Caudate / Putamen R (2)	urpe	-0.04984902696432996
19	Caudate / Putamen R (2)	urpe	-0.12857853041224201
20	Caudate / Putamen R (2)	urpe	-0.24564574210499235
21	Caudate / Putamen R (2)	urpe	0.00571446352551866
22	Caudate / Putamen R (2)	urpe	0.06656258461585089
23	Caudate / Putamen R (2)	urpe	0.002446262286690416
24	Caudate / Putamen R (2)	urpe	-0.3491740468483259
25	Caudate / Putamen R (2)	urpe	-0.07393175583007998
26	Caudate / Putamen R (2)	urpe	-0.0210342157596527
27	Caudate / Putamen R (2)	urpe	-0.032137672292293376
28	Caudate / Putamen R (2)	urpe	-0.002221900315751307
29	Caudate / Putamen R (2)	urpe	0.1870814983700721
30	Caudate / Putamen R (2)	urpe	-0.15484701826674163
33	Caudate / Putamen R (2)	urpe	-0.03967164299855672
34	Caudate / Putamen R (2)	urpe	0.016072973930353365
35	Caudate / Putamen R (2)	urpe	-0.1421544087282895
36	Caudate / Putamen R (2)	urpe	-0.1771133068169402
37	Caudate / Putamen R (2)	urpe	0.030275468195481936
38	Caudate / Putamen R (2)	urpe	-0.20057648396425887
39	Caudate / Putamen R (2)	urpe	-0.28111059116023845
40	Caudate / Putamen R (2)	urpe	-0.050616712343966544
41	Caudate / Putamen R (2)	urpe	-0.1587649158362957
42	Caudate / Putamen R (2)	urpe	-0.14716276452377086
43	Caudate / Putamen R (2)	urpe	-0.12503107462093627
45	Caudate / Putamen R (2)	urpe	-0.1634759743457242
46	Caudate / Putamen R (2)	urpe	-0.060584728289237895
47	Caudate / Putamen R (2)	urpe	-0.09152536880644217
48	Caudate / Putamen R (2)	urpe	-0.20909133388106543
49	Caudate / Putamen R (2)	urpe	-0.2680799163324992
50	Caudate / Putamen R (2)	urpe	-0.12243289623314271
51	Caudate / Putamen R (2)	urpe	-0.453738042066259
52	Caudate / Putamen R (2)	urpe	-0.12260761680102583
53	Caudate / Putamen R (2)	urpe	-0.06600094373500197
54	Caudate / Putamen R (2)	urpe	-0.23421479199667505
55	Caudate / Putamen R (2)	urpe	-0.3188867905127346
56	Caudate / Putamen R (2)	urpe	-0.14163537196586162
57	Caudate / Putamen R (2)	urpe	-0.15128497859619386
58	Caudate / Putamen R (2)	urpe	-0.1632292987550786
59	Caudate / Putamen R (2)	urpe	0.1277941397178775
60	Caudate / Putamen R (2)	urpe	-0.017536124650087692
61	Caudate / Putamen R (2)	urpe	-0.15043323256510172
62	Caudate / Putamen R (2)	urpe	-0.019347104298370464
63	Caudate / Putamen R (2)	urpe	-0.1311400465603272
64	Caudate / Putamen R (2)	urpe	0.020463923489497847
01	Caudate / Putamen R (2)	surprise	-0.08721677045183812
02	Caudate / Putamen R (2)	surprise	-0.0007507786079111518
03	Caudate / Putamen R (2)	surprise	-0.031378285382904283
04	Caudate / Putamen R (2)	surprise	-0.03536300689282958
05	Caudate / Putamen R (2)	surprise	0.08683534336415863
06	Caudate / Putamen R (2)	surprise	0.022124303424916326
07	Caudate / Putamen R (2)	surprise	0.01796301134094935
09	Caudate / Putamen R (2)	surprise	0.03343682155374015
10	Caudate / Putamen R (2)	surprise	0.008360028273684714
11	Caudate / Putamen R (2)	surprise	0.03916759154539955
12	Caudate / Putamen R (2)	surprise	0.008642914236890889
14	Caudate / Putamen R (2)	surprise	0.019911802173827268
15	Caudate / Putamen R (2)	surprise	-0.02433897339914599
17	Caudate / Putamen R (2)	surprise	-0.013238584501614224
18	Caudate / Putamen R (2)	surprise	-0.04752213282659236
19	Caudate / Putamen R (2)	surprise	-0.1702844148713768
20	Caudate / Putamen R (2)	surprise	0.029193499787811984
21	Caudate / Putamen R (2)	surprise	-0.016532206111775662
22	Caudate / Putamen R (2)	surprise	0.016845817574105387
23	Caudate / Putamen R (2)	surprise	0.017521378973143365
24	Caudate / Putamen R (2)	surprise	-0.002376657727133914
25	Caudate / Putamen R (2)	surprise	-0.07580162790561913
26	Caudate / Putamen R (2)	surprise	0.2741541306171103
27	Caudate / Putamen R (2)	surprise	0.03987954347190039
28	Caudate / Putamen R (2)	surprise	0.025939183210819866
29	Caudate / Putamen R (2)	surprise	-0.013603652343907669
30	Caudate / Putamen R (2)	surprise	-0.016236689118466537
33	Caudate / Putamen R (2)	surprise	0.005253693354350499
34	Caudate / Putamen R (2)	surprise	0.008263336536191967
35	Caudate / Putamen R (2)	surprise	0.11320234287965515
36	Caudate / Putamen R (2)	surprise	-0.033017157165125946
37	Caudate / Putamen R (2)	surprise	-0.0010131988691621976
38	Caudate / Putamen R (2)	surprise	0.18167342060489816
39	Caudate / Putamen R (2)	surprise	0.061071234572147685
40	Caudate / Putamen R (2)	surprise	-0.0024049072513615596
41	Caudate / Putamen R (2)	surprise	0.06724499692905198
42	Caudate / Putamen R (2)	surprise	-0.01164922555301345
43	Caudate / Putamen R (2)	surprise	-0.024607980540324963
45	Caudate / Putamen R (2)	surprise	-0.004273304424128062
46	Caudate / Putamen R (2)	surprise	0.011555533872791386
47	Caudate / Putamen R (2)	surprise	-0.03480116060610577
48	Caudate / Putamen R (2)	surprise	-0.031678058746653165
49	Caudate / Putamen R (2)	surprise	0.09849883907272901
50	Caudate / Putamen R (2)	surprise	-0.018905604757561652
51	Caudate / Putamen R (2)	surprise	0.0022294596514309366
52	Caudate / Putamen R (2)	surprise	-0.03415178662674558
53	Caudate / Putamen R (2)	surprise	0.022480818736550803
54	Caudate / Putamen R (2)	surprise	0.015534946484779695
55	Caudate / Putamen R (2)	surprise	-0.10087339668005176
56	Caudate / Putamen R (2)	surprise	0.12040427954162611
57	Caudate / Putamen R (2)	surprise	-0.028226873725478226
58	Caudate / Putamen R (2)	surprise	0.021927587760192147
59	Caudate / Putamen R (2)	surprise	-0.1180843091072205
60	Caudate / Putamen R (2)	surprise	-0.05691251966013446
61	Caudate / Putamen R (2)	surprise	-0.03821477607989058
62	Caudate / Putamen R (2)	surprise	0.049345604287244174
63	Caudate / Putamen R (2)	surprise	0.09984817241244237
64	Caudate / Putamen R (2)	surprise	0.033082872580020135
01	Insula R	rpe	0.02429159993230164
02	Insula R	rpe	0.13749538889404875
03	Insula R	rpe	0.033573129040193925
04	Insula R	rpe	0.30457488309889186
05	Insula R	rpe	-0.3152964030152552
06	Insula R	rpe	-0.12004410316737692
07	Insula R	rpe	-0.25795959372863764
09	Insula R	rpe	-0.04148355520008547
10	Insula R	rpe	0.37506548900490955
11	Insula R	rpe	0.07891596296608396
12	Insula R	rpe	0.10534869666580358
14	Insula R	rpe	-0.10448226631058288
15	Insula R	rpe	0.29208322394138464
17	Insula R	rpe	-0.09722429905567115
18	Insula R	rpe	-0.45740483340468185
19	Insula R	rpe	-0.15537028320874074
20	Insula R	rpe	-0.2216069681133578
21	Insula R	rpe	-0.05563270879459149
22	Insula R	rpe	0.22545198805072686
23	Insula R	rpe	0.11284251597420675
24	Insula R	rpe	0.15590059744054166
25	Insula R	rpe	0.326472742096033
26	Insula R	rpe	-0.2989571979926854
27	Insula R	rpe	0.1273689143199744
28	Insula R	rpe	-0.10815079765021693
29	Insula R	rpe	0.1229070085719202
30	Insula R	rpe	-0.47107519353160976
33	Insula R	rpe	0.14561894879739315
34	Insula R	rpe	-0.007999096399355874
35	Insula R	rpe	0.1842925746273554
36	Insula R	rpe	-0.13690328291513365
37	Insula R	rpe	0.3079398905742251
38	Insula R	rpe	-0.1664761232321807
39	Insula R	rpe	-0.1878830277711804
40	Insula R	rpe	-0.14685645546500925
41	Insula R	rpe	0.32775457845827827
42	Insula R	rpe	-0.17497911104926872
43	Insula R	rpe	-0.09809868595693787
45	Insula R	rpe	-0.2381965741988909
46	Insula R	rpe	-0.11982918653494318
47	Insula R	rpe	0.1501189981126768
48	Insula R	rpe	0.30826399302872914
49	Insula R	rpe	-0.08731322626763771
50	Insula R	rpe	0.1982659868457305
51	Insula R	rpe	-0.07398031129086106
52	Insula R	rpe	-0.20573329676783378
53	Insula R	rpe	0.1322523700328776
54	Insula R	rpe	-0.22352456772085882
55	Insula R	rpe	-0.12186166600663556
56	Insula R	rpe	0.7103130631290413
57	Insula R	rpe	-0.15161549738897814
58	Insula R	rpe	0.15891106639643193
59	Insula R	rpe	-0.059468920667740184
60	Insula R	rpe	0.1336026774623734
61	Insula R	rpe	-0.05649409090802623
62	Insula R	rpe	-0.04763145583893801
63	Insula R	rpe	-0.1767988630537738
64	Insula R	rpe	-0.34369567880964674
01	Insula R	urpe	0.4199546382211244
02	Insula R	urpe	0.2413738726302656
03	Insula R	urpe	0.4495364973329444
04	Insula R	urpe	0.05549169499318081
05	Insula R	urpe	0.28640399894840063
06	Insula R	urpe	0.2309795082744269
07	Insula R	urpe	0.07872782880438114
09	Insula R	urpe	0.20878425746717189
10	Insula R	urpe	0.016635099327039538
11	Insula R	urpe	0.0761201327812025
12	Insula R	urpe	0.033377232633792914
14	Insula R	urpe	0.04709692122258323
15	Insula R	urpe	0.08697660835445713
17	Insula R	urpe	-0.022034141837280464
18	Insula R	urpe	0.16663316358819452
19	Insula R	urpe	0.026255709094204563
20	Insula R	urpe	0.03117197242097103
21	Insula R	urpe	-0.037818025456465884
22	Insula R	urpe	-0.13842925815483
23	Insula R	urpe	0.30846786638737506
24	Insula R	urpe	0.1468461391888476
25	Insula R	urpe	0.1547491352574013
26	Insula R	urpe	0.05795473396314484
27	Insula R	urpe	0.013045513596086569
28	Insula R	urpe	0.07331946056554589
29	Insula R	urpe	0.16879015187421673
30	Insula R	urpe	0.3724060554562341
33	Insula R	urpe	0.029742898041832947
34	Insula R	urpe	0.14787763228207748
35	Insula R	urpe	-0.08987563364690652
36	Insula R	urpe	0.002563347022269234
37	Insula R	urpe	0.08728629329998848
38	Insula R	urpe	-0.08716769400172591
39	Insula R	urpe	0.3854640631871875
40	Insula R	urpe	0.05747538956782506
41	Insula R	urpe	0.32219766461874355
42	Insula R	urpe	0.11711456551595363
43	Insula R	urpe	0.3432954280544718
45	Insula R	urpe	0.732924850954177
46	Insula R	urpe	0.5139373082209545
47	Insula R	urpe	0.2017212614969668
48	Insula R	urpe	0.23165179119151702
49	Insula R	urpe	0.19883432885394048
50	Insula R	urpe	0.26081015447970984
51	Insula R	urpe	0.11410123826844924
52	Insula R	urpe	0.3270598593018476
53	Insula R	urpe	0.040975376026613226
54	Insula R	urpe	0.11790618961232668
55	Insula R	urpe	0.22831558052607612
56	Insula R	urpe	-0.36631788646785635
57	Insula R	urpe	0.16963429103700087
58	Insula R	urpe	0.24169953434985664
59	Insula R	urpe	0.5617920998538564
60	Insula R	urpe	-0.02597289691382249
61	Insula R	urpe	0.18535560109191532
62	Insula R	urpe	0.11833821114766023
63	Insula R	urpe	-0.04878956503997911
64	Insula R	urpe	0.2202493768083088
01	Insula R	surprise	-0.08828119591427942
02	Insula R	surprise	0.03114234006609305
03	Insula R	surprise	0.09838575563528455
04	Insula R	surprise	-0.1204547900965305
05	Insula R	surprise	-0.025822851323854038
06	Insula R	surprise	-0.04229248519660654
07	Insula R	surprise	-0.04711590196561201
09	Insula R	surprise	-0.04149930379992672
10	Insula R	surprise	-0.028346032508328105
11	Insula R	surprise	0.04694767121557808
12	Insula R	surprise	0.03916889701140126
14	Insula R	surprise	0.005753704988514398
15	Insula R	surprise	-0.0577119593921798
17	Insula R	surprise	0.09286937428374727
18	Insula R	surprise	-0.1736539267351931
19	Insula R	surprise	-0.0608926583647317
20	Insula R	surprise	0.07628793829309613
21	Insula R	surprise	-0.001564599521484654
22	Insula R	surprise	-0.03666403801157051
23	Insula R	surprise	0.015138893664407203
24	Insula R	surprise	0.01744298574778078
25	Insula R	surprise	-0.01567206442194302
26	Insula R	surprise	0.1997489275090293
27	Insula R	surprise	-0.059170202518327754
28	Insula R	surprise	-0.0038351717663223867
29	Insula R	surprise	0.005093279608403991
30	Insula R	surprise	0.10715084009015026
33	Insula R	surprise	0.04879295388479958
34	Insula R	surprise	0.011476858002992177
35	Insula R	surprise	0.10614125781588696
36	Insula R	surprise	0.12640626172364755
37	Insula R	surprise	-0.06847243808072767
38	Insula R	surprise	0.03249621702069956
39	Insula R	surprise	0.11196907851769718
40	Insula R	surprise	0.0013540145454715344
41	Insula R	surprise	0.09513992919027084
42	Insula R	surprise	-0.02358969585404984
43	Insula R	surprise	0.22146221813337133
45	Insula R	surprise	0.003737648333287246
46	Insula R	surprise	0.01632380116923677
47	Insula R	surprise	-0.06708069107425525
48	Insula R	surprise	0.022103995720420253
49	Insula R	surprise	0.13976885296651576
50	Insula R	surprise	0.027793731585004654
51	Insula R	surprise	-0.0016778092524931613
52	Insula R	surprise	-0.08213957186634996
53	Insula R	surprise	0.02880455255984749
54	Insula R	surprise	-0.01408332905850303
55	Insula R	surprise	-0.12143503010990583
56	Insula R	surprise	-0.04830009174929798
57	Insula R	surprise	0.030272432543546876
58	Insula R	surprise	0.0057422686002580724
59	Insula R	surprise	-0.22335184251000587
60	Insula R	surprise	0.0111629001371291
61	Insula R	surprise	0.11533988587668233
62	Insula R	surprise	0.021198548019075232
63	Insula R	surprise	-0.02209826563976066
64	Insula R	surprise	-0.024663866113584634
01	DLPFC L	rpe	0.06732570459445758
02	DLPFC L	rpe	0.4413338232688703
03	DLPFC L	rpe	0.24718166468887062
04	DLPFC L	rpe	0.1862351599844118
05	DLPFC L	rpe	0.3413541894838858
06	DLPFC L	rpe	-0.017453118459390633
07	DLPFC L	rpe	-0.18698853204879523
09	DLPFC L	rpe	-0.07492190537529743
10	DLPFC L	rpe	0.6600136307118062
11	DLPFC L	rpe	0.31407772319001304
12	DLPFC L	rpe	0.26457911875879836
14	DLPFC L	rpe	0.15079902655374358
15	DLPFC L	rpe	0.28237545193632607
17	DLPFC L	rpe	-0.15430580236031122
18	DLPFC L	rpe	0.011236093109080495
19	DLPFC L	rpe	0.22740530045008323
20	DLPFC L	rpe	-0.02769088280547294
21	DLPFC L	rpe	0.16720429770444376
22	DLPFC L	rpe	0.2669598764468547
23	DLPFC L	rpe	0.19768127080150608
24	DLPFC L	rpe	0.3324848002963548
25	DLPFC L	rpe	0.368329881248499
26	DLPFC L	rpe	0.02651010293266154
27	DLPFC L	rpe	0.315031416557593
28	DLPFC L	rpe	0.0698149558431467
29	DLPFC L	rpe	0.2055696855060958
30	DLPFC L	rpe	0.3615512716997409
33	DLPFC L	rpe	0.24212579648222096
34	DLPFC L	rpe	-0.039413009377147486
35	DLPFC L	rpe	0.30639521147503573
36	DLPFC L	rpe	-0.06524905636180918
