trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
35,2,1,1,2,0,0,2,1,1,NaN,0,0.15,4$,4$,1,1,27949.9664322,277.116828900002,281.102696226149,282.674051400001,283.6480778,2.54538157385105,284.174090100001,284.960605426746,3,0.457142857142857,0.542857142857143,16,20,1,285.960605426746
36,2,1,1,2,0,0,2,1,2,NaN,1,0.5,2@,4$,0,0,27949.9664322,285.975071100002,289.522044102156,291.092794300002,291.482638100002,1.96059399784644,292.592834200001,293.133540127146,3,0.444444444444444,0.555555555555556,17,20,1,294.133540127146
37,2,1,1,2,0,0,2,1,0,NaN,2,0.35,4$,2@,0,0,27949.9664322,294.149362100001,298.977431447634,300.548759600002,301.1052906,2.127859152366,302.048800500001,302.872902631341,3,0.432432432432432,0.567567567567568,17,21,1,303.872902631341
38,2,1,1,2,0,0,2,1,1,NaN,1,0.35,4$,4$,1,1,27949.9664322,303.876663300001,307.968567795226,309.539642400003,310.313526600003,2.34495880477698,311.0397113,311.809292469658,3,0.447368421052632,0.552631578947368,17,22,1,312.809292469658
39,2,1,1,2,0,0,2,1,2,NaN,0,0.35,4$,4$,1,1,27949.9664322,312.8166237,316.309551984865,317.880490800002,318.4175956,2.1080436151351,319.380529900001,319.812130877275,3,0.461538461538462,0.538461538461538,18,22,1,320.812130877275
40,2,1,1,2,0,0,2,1,1,NaN,2,0.5,2@,2@,1,1,27949.9664322,320.8240549,323.187820453357,324.7585397,325.407042999999,2.21922254664241,326.258579600002,327.016512795683,3,0.475,0.525,19,22,1,328.016512795683
41,2,1,1,2,0,0,2,1,0,NaN,0,0.5,2@,4$,0,0,27949.9664322,328.030601900002,331.253204988108,332.824376700002,333.106206700002,1.85300171189374,334.3244189,335.219602366833,3,0.463414634146341,0.536585365853659,20,22,1,336.219602366833
42,2,1,1,2,0,0,2,1,2,NaN,2,0.15,4$,4$,1,0,27949.9664322,336.2234088,339.148396534467,340.719736700001,341.019085899999,1.8706893655326,342.219775100002,343.522218700647,3,0.476190476190476,0.523809523809524,20,23,0,344.522218700647
43,2,1,1,2,0,0,2,1,0,NaN,1,0.15,4$,4$,1,1,27949.9664322,344.529268800001,347.188111327745,348.759906300002,349.790393700001,2.60228237225601,350.259945600003,350.958182441365,3,0.488372093023256,0.511627906976744,21,23,1,351.958182441365
44,2,1,1,2,0,0,2,1,1,NaN,0,0.15,4$,2@,0,0,27949.9664322,351.9695675,356.033824851304,357.6049394,358.384187600001,2.35036274869708,359.1049795,359.662291610748,3,0.477272727272727,0.522727272727273,22,23,1,360.662291610748
45,2,1,1,2,0,0,2,1,0,NaN,2,0.35,4$,2@,0,0,27949.9664322,360.677611999999,362.942738533358,364.5135887,364.899243200001,1.95650466664301,366.013630100002,366.477063227241,3,0.466666666666667,0.533333333333333,22,24,1,367.477063227241
