trialNumber,runNumber,visualSet,audioPair_1,audioPair_2,audioPair_3,tactilePair_1,tactilePair_2,tactilePair_3,visual,audio,tactile,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,runStartTime,trialStartTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,responseTimeOver,feedbackOnsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,feedbackAccuracy,feedbackOffsetTime
17,3,2,1,2,0,2,0,1,2,NaN,2,0.35,4$,4$,1,1,14998.308239,132.254268299999,134.45663216484,136.0296175,136.320883,1.86425083516042,137.5296574,138.025970596773,3,0.875,0.125,14,3,1,139.025970596773
18,3,2,1,2,0,2,0,1,0,NaN,0,0.35,4$,4$,1,1,14998.308239,139.043933700001,143.506572479278,145.0786033,145.133730699999,1.62715822072096,146.578642,147.061870814478,3,0.882352941176471,0.117647058823529,15,3,1,148.061870814478
19,3,2,1,2,0,2,0,1,2,NaN,1,0.5,2@,2@,1,1,14998.308239,148.0689009,152.077159015242,153.7507955,153.5368887,1.45972968475871,155.2508359,156.007414462752,3,0.888888888888889,0.111111111111111,16,3,1,157.007414462752
20,3,2,1,2,0,2,0,1,1,NaN,0,0.5,2@,2@,1,1,14998.308239,157.0121545,161.193717045546,162.895300300001,162.679887,1.48616995445445,164.395352400001,165.165457873189,3,0.894736842105263,0.105263157894737,17,3,1,166.165457873189
21,3,2,1,2,0,2,0,1,2,NaN,1,0.5,2@,2@,1,1,14998.308239,166.1706149,169.554481846581,170.898409699999,170.678943999999,1.12446215341879,172.398453199999,173.324941581914,3,0.9,0.1,18,3,1,174.324941581914
22,3,2,1,2,0,2,0,1,0,NaN,0,0.35,4$,4$,1,0,14998.308239,174.329480099999,176.726671385304,178.2993477,178.707883999999,1.98121261469532,179.7993876,180.27590163608,3,0.904761904761905,0.0952380952380952,19,3,0,181.27590163608
23,3,2,1,2,0,2,0,1,2,NaN,1,0.5,2@,,NaN,NaN,14998.308239,181.282797,184.41883112315,185.9913495,187.4193784,NaN,187.491386600001,188.65651785497,3,0.904761904761905,0.0952380952380952,20,3,1,189.65651785497
24,3,2,1,2,0,2,0,1,0,NaN,0,0.35,4$,4$,1,1,14998.308239,189.6740161,191.979536887791,193.301784900001,193.090617399999,1.11108051220799,194.8018268,196.353747699721,3,0.909090909090909,0.0909090909090909,20,3,1,197.353747699721
25,3,2,1,2,0,2,0,1,2,NaN,1,0.5,2@,2@,1,1,14998.308239,197.3645015,199.987675845185,201.425527699999,201.212883100001,1.22520725481627,202.9255691,203.773947748818,3,0.91304347826087,0.0869565217391305,21,3,1,204.773947748818
26,3,2,1,2,0,2,0,1,1,NaN,0,0.5,2@,2@,1,1,14998.308239,204.7878901,208.502354347798,209.9592813,209.7449031,1.2425487522014,211.459321800001,212.028855604885,3,0.916666666666667,0.0833333333333334,22,3,1,213.028855604885
27,3,2,1,2,0,2,0,1,0,NaN,2,0.5,2@,2@,1,1,14998.308239,213.0456371,216.362886306419,217.9351646,217.955629599999,1.5927432935805,219.4352053,220.795780282235,3,0.92,0.08,23,3,1,221.795780282235
28,3,2,1,2,0,2,0,1,1,NaN,0,0.5,2@,4$,0,0,14998.308239,221.803663299999,224.492953419285,226.065158400001,226.9748803,2.48192688071504,227.5651994,228.100886494236,3,0.884615384615385,0.115384615384615,24,3,1,229.100886494236
29,3,2,1,2,0,2,0,1,0,NaN,2,0.5,2@,2@,1,1,14998.308239,229.110445599999,232.03507524045,233.5454169,233.332809699999,1.29773445954925,235.045457300001,235.818279349738,3,0.888888888888889,0.111111111111111,24,4,1,236.818279349738
