source	name	signal	mean	sem	t	p	dz	cov_pos	cov_neg	p_holm
model7	dmPFC R	surprise	0.0061158282722619806	0.017396042188241204	0.3515643504472502	0.726461320931892	0.04616266077787383	0.0	0.0	1.0
model7	Superior frontal sulcus R	rpe	-0.0700871594671231	0.04565398855437893	-1.5351815183385689	0.13027181496797122	-0.20157920896521023	0.0	0.0	1.0
model7	Superior frontal sulcus R	urpe	0.22392681733520498	0.04003510729366071	5.5932613266822	6.600186674478089e-07	0.7344311928588791	1.0	0.0	2.508070936301674e-05
model7	Superior frontal sulcus R	surprise	0.026821933131377682	0.017019153373110513	1.575985158800855	0.12056370320565558	0.20693698944200367	0.0	0.0	1.0
model7	Frontal middle gyrus R	rpe	0.07068337202129026	0.0364099529737995	1.9413200580663699	0.05716899315152051	0.2549078118637245	0.0	0.0	1.0
model7	Frontal middle gyrus R	urpe	0.18800928283277685	0.027477949938235328	6.842187399546993	5.826880569595143e-09	0.8984232203922569	1.0	0.0	3.0299778961894744e-07
model7	Frontal middle gyrus R	surprise	-4.530027002325044e-05	0.015514270086815747	-0.002919909848788005	0.9976804476753537	-0.0003834029465163248	0.0	0.0	1.0
model7	Inferior Frontal Gyrus L	rpe	0.20447574572651478	0.03522215273624888	5.805316536376226	2.990785514076774e-07	0.762275406013122	1.0	0.0	1.2262220607714775e-05
model7	Inferior Frontal Gyrus L	urpe	0.05207524393431478	0.03144651608741344	1.655994062730467	0.10321876017375761	0.21744267321401728	0.0	0.0	1.0
model7	Inferior Frontal Gyrus L	surprise	0.021822221074575626	0.010679465123026399	2.0433814636955843	0.045646936088259524	0.26830913096954584	0.0	0.0	1.0
model7	Insula R	rpe	-0.10415146504547682	0.039557728299650645	-2.6328980333887535	0.010876581680905046	-0.34571644884765584	0.0	0.05084745762711865	0.27191454202262616
model7	Insula R	urpe	0.22586211181331736	0.03409721754377307	6.624062843936219	1.3427009569721618e-08	0.8697820630758939	1.0	0.0	6.847774880558025e-07
model7	Insula R	surprise	-0.005564994042443375	0.012378077734967756	-0.44958467393708534	0.6547149568919752	-0.05903335980308016	0.0	0.0	1.0
model7	Inferior Parietal Lobule L	rpe	0.06905407050344936	0.027465083979704243	2.514249384945553	0.014776180316371047	0.330137118056952	0.05555555555555555	0.0	0.35462832759290513
model7	Inferior Parietal Lobule L	urpe	-0.12134708238131175	0.021431540075210323	-5.662079437850238	5.10865238588315e-07	-0.7434674535524981	0.0	1.0	1.9923744304944286e-05
model7	Inferior Parietal Lobule L	surprise	-0.005438098212858024	0.011287847484495106	-0.4817657414602519	0.6318169964084903	-0.06325894098516503	0.0	0.0	1.0
model7	Superior Temporal Gyrus L	rpe	0.23507246724386094	0.039499137656865954	5.951331628704541	1.7279625710690878e-07	0.7814481269304361	0.7532467532467533	0.0	7.430239055597077e-06
model7	Superior Temporal Gyrus L	urpe	-0.16304956141155555	0.03060738616833564	-5.327131187054311	1.7642978125042303e-06	-0.699486593547881	0.0	0.45454545454545453	5.998612562514383e-05
model7	Superior Temporal Gyrus L	surprise	0.07310139526874702	0.012549792069394352	5.824908880125761	2.7789772521248454e-07	0.7648480067822351	1.0	0.0	1.1671704458924351e-05
model7	Precuneus L	rpe	0.24020423358068554	0.05718624540663417	4.200384758129609	9.468178989729683e-05	0.5515375392283475	0.2982456140350877	0.0	0.002840453696918905
model7	Precuneus L	urpe	-0.0887643812704875	0.03937972105689982	-2.2540632307230344	0.028053543411551612	-0.2959730022665034	0.0	0.07017543859649122	0.6452314984656871
model7	Precuneus L	surprise	0.11040664362592699	0.019221195544285065	5.744005016314065	3.762423728542351e-07	0.7542248090205526	1.0	0.0	1.5049694914169405e-05
model7	Insula R (2)	rpe	-0.2360649073249012	0.03955530804350408	-5.9679703938917665	1.6229812982733811e-07	-0.7836329038343612	0.0	1.0	7.1852911520459445e-06
model7	Insula R (2)	urpe	0.14492628040687705	0.037079880969879325	3.90848828572571	0.00024915482789855545	0.5132096546726551	0.11320754716981132	0.0	0.006727180353260997
model7	Insula R (2)	surprise	0.012000475410072277	0.01665143565305131	0.7206871323358378	0.47404744202332305	0.09463085655492165	0.0	0.0	1.0
model7	Insula L	rpe	-0.013644085085129988	0.044147786197324394	-0.30905479663568947	0.7584067097796685	-0.040580882904419364	0.0	0.0	1.0
model7	Insula L	urpe	0.17510426203584914	0.03260949103833586	5.369733058084096	1.5086294589050411e-06	0.705080493265952	1.0	0.0	5.431066052058148e-05
model7	Insula L	surprise	-0.0030236719384244626	0.014501706635439711	-0.208504558424532	0.8355783134878664	-0.02737798980171691	0.0	0.0	1.0
model7	DLPFC L (2)	rpe	0.26905310836957513	0.03796563411338083	7.086753972449745	2.281006902601489e-09	0.9305363846768444	0.967741935483871	0.0	1.254553796430819e-07
model7	DLPFC L (2)	urpe	-0.15361397567042484	0.0299000119031337	-5.137589114281429	3.5252294762181494e-06	-0.6745985000952359	0.0	0.8064516129032258	0.00011633257271519894
model7	DLPFC L (2)	surprise	0.07520326329454095	0.014028603362477831	5.360709213269682	1.5595390688082383e-06	0.7038956043926916	1.0	0.0	5.458386740828834e-05
model7	Inferior parietal lobule R	rpe	0.23281325770554087	0.057763869350735644	4.030430445923303	0.00016696312636223226	0.5292214447434098	0.37037037037037035	0.0	0.004674967538142503
model7	Inferior parietal lobule R	urpe	0.2089453603065049	0.04307759661702867	4.850441452527748	9.910159268181314e-06	0.6368941649263498	1.0	0.0	0.00030721493731362075
model7	Inferior parietal lobule R	surprise	-0.01676168518946664	0.020930398876593627	-0.8008297065093755	0.42655576446906385	-0.10515409208984464	0.0	0.0	1.0
model7	Angular gyrus R	rpe	0.2857051394561609	0.04743201533522004	6.023466163876325	1.3165097670273375e-07	0.7909198554298372	0.9629629629629629	0.0	6.055944928325752e-06
model7	Angular gyrus R	urpe	-0.10514735298202978	0.03291225115322113	-3.194778518568122	0.002281313465739926	-0.41949497105004907	0.0	0.2222222222222222	0.05931415010923807
model7	Angular gyrus R	surprise	0.08478072190573549	0.01576517611171014	5.37772120685424	1.4649329724993061e-06	0.7061293885861124	1.0	0.0	5.420251998247433e-05
